alignment_result_file	barcode_id	ref_accno	ref_cCC	ref_len	ref_pos	ref_stretch	odd_CC	odd_accno	odd_len	odd_pos	odd_stretch	same_allowed_stretching	stretchfactor	used_theory
Ecoli_BL21_180420_HCAv3.1.1_130nm_520bpPERpixel.txt	Bl21_1_6x_23_ZVIExport_23_molecule_1_kymograph_tif	NZ_CP008957.1	0.739329891	646	3954	1.01	0.807025341	NZ_CP015107.1	627	4015	0.98	yes	0.25	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePaeruginousaPmirabilis_10,20,30,40_181127_HCAv3.1.1_130nm_491bpPERpixel_5%+5%_.txt	x1_6x_10203040_Fragment_35_ZVIExport_46_molecule_1_kymograph_ti						0.8879862	NZ_CP022099.1	703	2263	1.03	no	0.265	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePaeruginousaPmirabilis_10,20,30,40_181127_HCAv3.1.1_130nm_494bpPERpixel.txt	x1_6x_10203040_Fragment_35_ZVIExport_46_molecule_1_kymograph_ti						0.887825397	NZ_CP022099.1	703	2243	1.03	yes	0.263	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePaeruginousaPmirabilis_10,20,30,40_181127_HCAv3.1.1_130nm_516bpPERpixel.txt	x1_6x_10203040_Fragment_35_ZVIExport_46_molecule_1_kymograph_ti						0.889711576	NZ_CP022099.1	669	2152	0.98	no	0.252	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePaeruginousaPmirabilis_10,20,30,40_181127_HCAv3.1.1_130nm_516bpPERpixel_10%_.txt	x1_6x_10203040_Fragment_35_ZVIExport_46_molecule_1_kymograph_ti						0.889711576	NZ_CP022099.1	669	2152	0.98	no	0.252	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniaePmirabilisPaeruginousa_25,25,25,25_181129_HCAv3.1.1_130nm_516bpPERpixel.txt	x1_6X_25252525_Fragment_37_ZVIExport_71_molecule_1_kymograph_ti						0.810021313	NZ_CP020818.1	561	1019	0.95	yes	0.252	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniae_50,50_181008_HCAv3.1.1_130nm_573bpPERpixel.txt	x1_6x_5050_Fragment_5_ZVIExport_07_molecule_1_kymograph_tif						0.812734148	NC_017022.1	728	2790	1.05	yes	0.227	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
EcoliKpneumoniae_10,90_181003_HCAv3.1.1_130nm_695bpPERpixel.txt	x1_6x_9010_Fragment_7_ZVIExport_09_molecule_1_kymograph_tif						0.849033288	NZ_CP025299.1	579	2408	0.95	yes	0.187	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Paeruginousa_DA62688,Urin_190109_HCAv3.1.1_130nm_663bpPERpixel.txt	x1_6x_DA62688_Fragment_21_ZVIExport_21_molecule_1_kymograph_tif	NZ_CP029097.1	0.832872261	637	9790	0.95	0.845540149	NZ_CP016022.1	691	2252	1.03	yes	0.196	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
Ssaprophyticus_G+2_190123_HCAv3.1.1_130nm_518bpPERpixel.txt	x1_6x_G_nr2_time3_Fragment__ZVIExport_01_molecule_1_kymograph_t	NZ_CP014113.2	0.841990037	653	4909	1.02	0.805178392	NC_009616.1	608	1195	0.95	yes	0.251	Ref_Theory_ncbi_chromosomes_181022_130nmPixel_0.3nmPERbp.mat
